,ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper
209,2015-05-12,4976.502743695739,4976.502743695739,4976.502743695739,4989.174704535347,4772.478085475765,5212.207493625374
210,2015-05-13,4975.268638793532,4975.268638793532,4975.268638793532,4985.625030898624,4768.714499575969,5204.439162956852
211,2015-05-14,4974.034533891325,4974.034533891325,4974.034533891325,4977.467826522561,4744.678751559137,5196.494383128164
212,2015-05-15,4972.800428989117,4972.800428989117,4972.800428989117,4975.37668163071,4756.578982594869,5197.469231955536
213,2015-05-18,4969.098114282495,4969.098114282495,4969.098114282495,4962.591155328228,4740.125308743928,5177.570385461439
214,2015-05-19,4967.864009380288,4967.864009380288,4967.864009380288,4973.437907191273,4750.890230044426,5187.8030013572
215,2015-05-20,4966.62990447808,4966.62990447808,4966.62990447808,4974.555173293113,4733.788130700783,5192.626367866259
216,2015-05-21,4965.395799575873,4965.395799575873,4965.395799575873,4971.540424956113,4767.477825549315,5180.613710554192
217,2015-05-22,4964.161694673665,4964.161694673665,4964.161694673665,4974.965428257389,4760.068017202974,5203.5133462247295
218,2015-05-26,4959.225275064836,4959.225275064836,4959.225275064836,4996.460770705543,4777.405235763237,5230.978252853448
219,2015-05-27,4957.991170162628,4957.991170162628,4957.991170162628,5003.141914200607,4783.559907122466,5224.483323299459
220,2015-05-28,4956.757065260421,4956.757065260421,4956.757065260421,5005.316940042002,4800.314239456351,5223.670598830508
221,2015-05-29,4955.522960358214,4955.522960358214,4955.522960358214,5013.437473870736,4801.665839257221,5229.47678474104
222,2015-06-01,4951.820645651591,4951.820645651591,4951.820645651591,5028.353380156772,4812.1324087181065,5247.017566269545
223,2015-06-02,4950.586540749384,4950.586540749384,4950.586540749384,5046.759456338766,4827.287258040187,5271.93293146386
224,2015-06-03,4949.352435847176,4949.352435847176,4949.352435847176,5054.288669867211,4830.845762120092,5287.761026294545
225,2015-06-04,4948.118330944968,4948.118330944968,4948.118330944968,5056.385445027706,4824.952100802803,5277.1280440998535
226,2015-06-05,4946.884226042761,4946.884226042761,4946.884226042761,5063.496473233849,4834.539236000048,5269.541880926845
227,2015-06-08,4943.181911336139,4943.181911336139,4943.181911336139,5070.075415980132,4839.360316303582,5295.197150362437
228,2015-06-09,4941.947806433931,4941.947806433931,4941.947806433931,5084.132248222417,4850.9374365921185,5307.293960821528
229,2015-06-10,4940.713701531724,4940.713701531724,4940.713701531724,5086.675657453866,4874.571002766917,5296.712397305445
230,2015-06-11,4939.479596629516,4939.479596629516,4939.479596629516,5083.2646738568865,4866.024124131806,5310.255642948946
231,2015-06-12,4938.245491727309,4938.245491727309,4938.245491727309,5084.474115811978,4860.123073136368,5304.239966192822
232,2015-06-15,4934.543177020687,4934.543177020687,4934.543177020687,5072.404850530014,4859.842577651309,5305.303031102976
233,2015-06-16,4933.309072118479,4933.309072118479,4933.309072118479,5080.426547023459,4867.569527945995,5327.353973180859
234,2015-06-17,4932.074967216272,4932.074967216272,4932.074967216272,5077.271552126545,4863.811899548754,5305.047308420226
235,2015-06-18,4930.840862314065,4930.840862314065,4930.840862314065,5068.638186060555,4833.950865849806,5295.870062834456
236,2015-06-19,4929.606757411857,4929.606757411857,4929.606757411857,5065.230021730775,4829.713199974622,5267.7528362650155
237,2015-06-22,4925.904442705235,4925.904442705235,4925.904442705235,5044.001007497243,4805.634033416289,5264.528505479248
238,2015-06-23,4924.670337803028,4924.670337803028,4924.670337803028,5050.795918408444,4837.057545068527,5278.295156734848
